X Y EX EY
3675 0.00955774 5 0.05
3690 -0.00875163 5 0.05
3705 -0.0278606 5 0.05
3720 -0.0475353            5         0.05
3735 -0.0673842            5         0.05
3750 -0.0867205            5         0.05
3765 -0.105557            5         0.05
3780 -0.122907            5         0.05
3795 -0.138968            5         0.05
3810    -0.153538            5         0.05
3825    -0.166148            5         0.05
3840    -0.175959            5         0.05
3855    -0.183688            5         0.05
3870    -0.188628            5         0.05
3885    -0.191151            5         0.05
3900    -0.191092            5         0.05
3915    -0.188385            5         0.05
3930     -0.18359            5         0.05
3945    -0.176005            5         0.05
3960    -0.167077            5         0.05
3975    -0.156348            5         0.05
3990    -0.143739            5         0.05
4005    -0.130255            5         0.05
4020    -0.116193            5         0.05
4035    -0.101935            5         0.05
4050   -0.0872649            5         0.05
4065    -0.072949            5         0.05
4080   -0.0592545            5         0.05
4095    -0.046454            5         0.05
4110   -0.0344809            5         0.05
4125   -0.0238081            5         0.05
4140   -0.0149404            5         0.05
4155  -0.00763329            5         0.05
        4170  -0.00254955            5         0.05
        4185   0.00124148            5         0.05
        4200   0.00323241            5         0.05
        4215   0.00328779            5         0.05
        4230   0.00148206            5         0.05
        4245  -0.00229922            5         0.05
        4260  -0.00725134            5         0.05
        4275    -0.014082            5         0.05
        4290   -0.0219128            5         0.05
        4305   -0.0306082            5         0.05
        4320   -0.0405841            5         0.05
        4335   -0.0509779            5         0.05
        4350   -0.0618237            5         0.05
        4365   -0.0729113            5         0.05
        4380   -0.0837616            5         0.05
        4395   -0.0944644            5         0.05
        4410     -0.10398            5         0.05
        4425    -0.113016            5         0.05
        4440    -0.120856            5         0.05
        4455    -0.127424            5         0.05
        4470    -0.133049            5         0.05
        4485    -0.137038            5         0.05
        4500    -0.139844            5         0.05
        4515    -0.141333            5         0.05
        4530    -0.141495            5         0.05
        4545    -0.140033            5         0.05
        4560    -0.137166            5         0.05
        4575    -0.132988            5         0.05
        4590    -0.127824            5         0.05
        4605    -0.122033            5         0.05
        4620    -0.115287            5         0.05
        4635    -0.108039            5         0.05
        4650   -0.0999556            5         0.05
        4665   -0.0918555            5         0.05
        4680   -0.0836419            5         0.05
        4695   -0.0757665            5         0.05
        4710   -0.0680812            5         0.05
        4725   -0.0603911            5         0.05
        4740   -0.0539375            5         0.05
        4755   -0.0478672            5         0.05
        4770     -0.04284            5         0.05
        4785   -0.0387426            5         0.05
        4800   -0.0358719            5         0.05
        4815   -0.0333698            5         0.05
        4830   -0.0319794            5         0.05
        4845   -0.0321487            5         0.05
        4860   -0.0335261            5         0.05
        4875   -0.0359666            5         0.05
        4890    -0.038871            5         0.05
        4905   -0.0426641            5         0.05
        4920   -0.0472732            5         0.05
        4935   -0.0521415            5         0.05
        4950   -0.0573994            5         0.05
        4965   -0.0633586            5         0.05
        4980   -0.0698425            5         0.05
        4995   -0.0752708            5         0.05
        5010   -0.0813482            5         0.05
        5025   -0.0870236            5         0.05
        5040   -0.0924862            5         0.05
        5055   -0.0973839            5         0.05
        5070    -0.102125            5         0.05
        5085    -0.106045            5         0.05
        5100    -0.109226            5         0.05
        5115    -0.111195            5         0.05
        5130    -0.112995            5         0.05
        5145    -0.113482            5         0.05
        5160    -0.113659            5         0.05
        5175    -0.113444            5         0.05
        5190    -0.111732            5         0.05
        5205    -0.109556            5         0.05
        5220    -0.106662            5         0.05
        5235     -0.10313            5         0.05
        5250   -0.0992215            5         0.05
        5265   -0.0949019            5         0.05
        5280   -0.0905474            5         0.05
        5295    -0.085953            5         0.05
        5310   -0.0814208            5         0.05
        5325   -0.0767058            5         0.05
        5340   -0.0724174            5         0.05
        5355   -0.0687604            5         0.05
        5370   -0.0645325            5         0.05
        5385    -0.061444            5         0.05
        5400   -0.0585729            5         0.05
        5415   -0.0564674            5         0.05
        5430   -0.0544774            5         0.05
        5445    -0.053271            5         0.05
        5460   -0.0532329            5         0.05
        5475   -0.0534056            5         0.05
        5490   -0.0535624            5         0.05
        5505   -0.0544699            5         0.05
        5520   -0.0563934            5         0.05
        5535   -0.0584914            5         0.05
        5550   -0.0609763            5         0.05
        5565   -0.0636534            5         0.05
        5580   -0.0664732            5         0.05
        5595   -0.0704606            5         0.05
        5610   -0.0737126            5         0.05
        5625   -0.0770318            5         0.05
        5640   -0.0807263            5         0.05
        5655   -0.0837566            5         0.05
        5670   -0.0867977            5         0.05
        5685   -0.0896505            5         0.05
        5700   -0.0921455            5         0.05
        5715   -0.0944184            5         0.05
        5730   -0.0959199            5         0.05
        5745   -0.0972271            5         0.05
        5760   -0.0980894            5         0.05
        5775   -0.0980376            5         0.05
        5790    -0.097963            5         0.05
        5805   -0.0979207            5         0.05
        5820   -0.0974968            5         0.05
        5835   -0.0958404            5         0.05
        5850   -0.0942581            5         0.05
        5865   -0.0924289            5         0.05
        5880   -0.0902849            5         0.05
        5895    -0.087875            5         0.05
        5910   -0.0853149            5         0.05
        5925   -0.0827588            5         0.05
        5940   -0.0805964            5         0.05
        5955   -0.0782067            5         0.05
        5970   -0.0757638            5         0.05
        5985   -0.0733416            5         0.05
        6000   -0.0714476            5         0.05
        6015   -0.0698249            5         0.05
        6030   -0.0676339            5         0.05
        6045   -0.0657578            5         0.05
        6060   -0.0648859            5         0.05
        6075   -0.0649162            5         0.05
        6090   -0.0649883            5         0.05
        6105    -0.065044            5         0.05
        6120   -0.0650763            5         0.05
        6135   -0.0652647            5         0.05
        6150   -0.0658729            5         0.05
        6165    -0.067847            5         0.05
        6180   -0.0696373            5         0.05
